track_id,display_name,github_issue,creation,impl_start,impl_end,merge_to_main
core_ics_delegation_20260529,Implement Core Incident Command System and Le...,N/A,2026-05-29T12:05:09+02:00,2026-05-29T12:05:09+02:00,2026-05-29T12:56:20+02:00,2026-05-29T12:56:20+02:00
mock_diagnostics_20260529,Implement Mock Diagnostics and Fast E2E Incid...,N/A,2026-05-29T12:56:53+02:00,2026-05-29T12:56:53+02:00,2026-06-01T07:56:58+02:00,2026-06-01T07:56:58+02:00
sre_dashboard_20260601,Create SRE Web Dashboard for live simulation ...,N/A,2026-06-01T07:58:39+02:00,2026-06-01T07:58:39+02:00,2026-06-01T08:07:04+02:00,2026-06-01T08:07:04+02:00
comms_integration_20260601,Integrate Communications Lead Madhavi with Te...,N/A,2026-06-01T16:32:42+02:00,2026-06-01T16:32:42+02:00,2026-06-01T16:35:11+02:00,2026-06-01T16:35:11+02:00
sre_skills_integration_20260601,Implement Modular Skill Adapter allowing SRE ...,N/A,2026-06-01T16:37:00+02:00,2026-06-01T16:37:00+02:00,2026-06-01T16:38:21+02:00,2026-06-01T16:38:21+02:00
live_gcp_connectors_20260601,Initialize Live GCP Connectors Track to conne...,27,2026-06-01T21:04:55+02:00,2026-06-01T21:04:55+02:00,2026-06-16T12:46:29+02:00,2026-06-16T12:46:29+02:00
gcp_resource_discovery_20260601,lets add a discovery function. given a prohec...,26,2026-06-01T21:23:12+02:00,2026-06-01T21:23:12+02:00,2026-06-16T15:05:46+02:00,2026-06-16T15:05:46+02:00
cross_chat_mirroring_20260602,"Manage WebChat on port 8080 and Telegram bot,...",N/A,2026-06-02T08:32:44+02:00,2026-06-02T08:32:44+02:00,2026-06-02T08:37:17+02:00,2026-06-02T08:37:17+02:00
cross_chat_statefulness_20260602,We should have some sort of statefulness. Sth...,N/A,2026-06-02T08:52:50+02:00,2026-06-02T08:52:50+02:00,2026-06-03T17:35:25+02:00,2026-06-16T12:32:16+02:00
pending_mutations_registry_20260602,If system has a conjecture to fix things whic...,28,2026-06-02T08:54:30+02:00,2026-06-02T08:54:30+02:00,2026-06-16T12:43:26+02:00,2026-06-16T15:55:17+02:00
multi_view_project_explorer_20260602,Revive SRE project discovery with multi-view ...,N/A,2026-06-02T11:38:06+02:00,2026-06-02T11:38:06+02:00,2026-06-02T16:17:16+02:00,2026-06-16T12:32:12+02:00
telegram_incident_creation_20260603,Interactive Telegram Incident Creation from v...,29,2026-06-03T17:47:25+02:00,2026-06-03T17:47:25+02:00,2026-06-16T12:43:28+02:00,2026-06-16T12:43:28+02:00
better_copilot_sidebar_20260603,Refactor right-hand panel: rename to SRE Seco...,N/A,2026-06-03T17:57:26+02:00,2026-06-03T17:57:26+02:00,2026-06-03T18:02:25+02:00,2026-06-03T18:02:25+02:00
project_explorer_ui_improvements_20260603,Improve Project Explorer UI by moving tabs to...,N/A,2026-06-03T18:11:15+02:00,2026-06-03T18:11:15+02:00,2026-06-03T18:16:15+02:00,2026-06-03T18:16:15+02:00
incident_status_taxonomy_20260603,Define a strong deterministic taxonomy of sta...,5,2026-06-04T09:02:38+02:00,2026-06-04T09:02:38+02:00,2026-06-16T15:05:46+02:00,2026-06-16T15:05:46+02:00
wiki_cross_linking_20260603,Support project cross-referencing inside Proj...,7,2026-06-04T09:02:38+02:00,2026-06-04T09:02:38+02:00,2026-06-16T10:30:10+02:00,2026-06-16T12:15:26+02:00
incident_delete_archive_20260603,"Add Archive capability (direct, hides inciden...",6,2026-06-04T09:02:38+02:00,2026-06-04T09:02:38+02:00,2026-06-16T10:30:10+02:00,2026-06-16T12:15:40+02:00
adk_observability_cloud_run_20260603,Deploy SRE dashboard to Cloud Run via just de...,1,2026-06-04T09:02:38+02:00,2026-06-04T09:02:38+02:00,2026-06-16T10:30:10+02:00,2026-06-16T15:48:35+02:00
ui_navigation_deep_reload_20260604,Fix UI Navigation bug where reloading deep pr...,N/A,2026-06-04T10:12:03+02:00,2026-06-04T10:12:03+02:00,2026-06-04T10:12:03+02:00,2026-06-04T10:12:03+02:00
better_wiki_edit_ui_20260604,Improve the wiki editing layout to optimize w...,10,2026-06-04T12:27:14+02:00,2026-06-04T12:27:14+02:00,2026-06-16T10:30:10+02:00,2026-06-16T12:02:12+02:00
graduate_local_state_cloud_20260604,Graduate Project Benjamin local state (incide...,9,2026-06-04T12:27:14+02:00,2026-06-04T12:27:14+02:00,2026-06-16T10:30:10+02:00,2026-06-16T15:07:23+02:00
sre_demo_domain_20260604,Create a SRE Demo domain under discover/domai...,N/A,2026-06-04T17:50:05+02:00,2026-06-04T17:50:05+02:00,2026-06-04T17:50:05+02:00,2026-06-04T17:58:11+02:00
sre_extension_prompts_20260605,Use SRE Extension skills to power up the agen...,N/A,2026-06-05T09:53:31+02:00,2026-06-05T09:53:31+02:00,2026-06-05T09:56:06+02:00,2026-06-05T09:56:06+02:00
unified_incident_lifecycle_observability_20260607,Feature Request: Unified Incident Lifecycle &...,18,2026-06-08T09:10:58+02:00,2026-06-08T09:10:58+02:00,2026-06-16T14:50:42+02:00,2026-06-16T16:41:47+02:00
remove_test_project_123_20260616,Remove test-project-123 and disable MOCKING,N/A,2026-06-16T12:26:26+02:00,2026-06-16T12:26:26+02:00,2026-06-16T12:26:26+02:00,2026-06-16T13:19:18+02:00
multi_env_state_management_20260616,Make sense of state in multiple environments ...,8,2026-06-16T12:50:36+02:00,2026-06-16T12:50:36+02:00,2026-06-16T12:50:36+02:00,2026-06-16T15:47:32+02:00
fuse_mount_gcs_discovery_20260616,Fuse-mount discovery folder on GCS,11,2026-06-16T16:18:46+02:00,2026-06-16T16:18:46+02:00,2026-06-16T16:20:54+02:00,2026-06-16T16:20:54+02:00
mcp_streamline_abilities_20260616,P1 Add MCP to streamline ahents abilities,22,2026-06-16T16:18:46+02:00,2026-06-16T16:18:46+02:00,2026-06-16T16:18:46+02:00,2026-06-16T16:41:47+02:00
workspace_agent_installation_20260616,Feature Request: Implement Workspace-based Ag...,19,2026-06-16T16:18:46+02:00,2026-06-16T16:18:46+02:00,2026-06-16T16:18:46+02:00,2026-06-16T16:19:34+02:00
migrate_tf_cb_logic_20260616,migrate the TF/CB logic from Pvt Codelab to h...,15,2026-06-16T16:18:46+02:00,2026-06-16T16:18:46+02:00,2026-06-16T16:18:46+02:00,2026-06-16T16:41:47+02:00
managed_agents_sandbox_20260616,Use Managed Agents API to create a solid SRE ...,23,2026-06-16T16:18:46+02:00,2026-06-16T16:18:46+02:00,2026-06-16T16:18:46+02:00,2026-06-16T17:40:10+02:00
ai_engineering_practices_20260616,[P4][Nice-to-have] Read this great doc and ma...,21,2026-06-16T16:18:46+02:00,2026-06-16T16:18:46+02:00,2026-06-16T16:18:46+02:00,2026-06-16T16:41:47+02:00
disable_mock_fallback_dev_20260616,There's a BUG: track as GHI. ⚠️ DEMO / MOCK D...,31,2026-06-16T16:55:03+02:00,2026-06-16T16:55:03+02:00,2026-06-16T16:55:03+02:00,2026-06-16T16:55:58+02:00
